soundingID,date,hour,Longitude,Latitude,inSmoke,GISExists,NOXEmission,NOXPercentOfMax,maxNOX,DOF
Run08167_Seq0001_Scan132,20080729,21.14500046,-124.26804,57.881168,FALSE,TRUE,NA,NA,2.64E+13,0.08139158
Run08167_Seq0001_Scan133,20080729,21.14500046,-124.50244,58.271801,FALSE,TRUE,NA,NA,2.64E+13,0.126712129
Run08167_Seq0001_Scan134,20080729,21.14500046,-124.74196,58.663059,FALSE,TRUE,NA,NA,2.64E+13,0.097685032
Run08167_Seq0001_Scan136,20080729,21.1538887,-125.23553,59.444187,FALSE,TRUE,NA,NA,2.64E+13,0.870520771
Run08167_Seq0001_Scan137,20080729,21.1538887,-125.4892,59.833099,FALSE,TRUE,NA,NA,2.64E+13,0.753237069
Run08167_Seq0001_Scan138,20080729,21.1538887,-125.74883,60.222469,FALSE,TRUE,NA,NA,2.64E+13,0.164425299
Run08167_Seq0001_Scan139,20080729,21.1538887,-126.01409,60.611435,FALSE,TRUE,NA,NA,2.64E+13,0.868078649
Run08167_Seq0001_Scan141,20080729,21.16277695,-126.56164,61.387554,FALSE,TRUE,NA,NA,2.64E+13,0.456655473
Run08167_Seq0001_Scan142,20080729,21.16277695,-126.84519,61.775433,FALSE,TRUE,NA,NA,2.64E+13,0.090606213
Run08167_Seq0001_Scan143,20080729,21.16277695,-127.1345,62.161953,FALSE,TRUE,NA,NA,2.64E+13,0.191095769
Run08167_Seq0001_Scan144,20080729,21.1716671,-127.43047,62.547901,FALSE,TRUE,NA,NA,2.64E+13,0.026100351
Run08167_Seq0001_Scan145,20080729,21.1716671,-127.73383,62.93351,FALSE,TRUE,NA,NA,2.64E+13,0.187909544
Run08167_Seq0001_Scan146,20080729,21.1716671,-128.04469,63.319073,FALSE,TRUE,NA,NA,2.64E+13,0.390219301
Run08167_Seq0001_Scan147,20080729,21.1716671,-128.36313,63.703609,FALSE,TRUE,NA,NA,2.64E+13,0.092018738
Run08167_Seq0001_Scan149,20080729,21.18055534,-129.02411,64.470901,FALSE,TRUE,NA,NA,2.64E+13,0.32924971
Run08167_Seq0001_Scan150,20080729,21.18055534,-129.36806,64.854393,FALSE,TRUE,NA,NA,2.64E+13,0.339764774
Run08167_Seq0001_Scan151,20080729,21.18055534,-129.71999,65.235741,FALSE,TRUE,NA,NA,2.64E+13,0.213971108
Run08182_Seq0001_Scan011,20080730,7.296111107,-65.091118,65.081337,NA,TRUE,NA,NA,2.64E+13,0.083265081
Run08182_Seq0001_Scan012,20080730,7.296111107,-65.439796,64.69912,NA,TRUE,NA,NA,2.64E+13,0.654397607
Run08182_Seq0001_Scan013,20080730,7.296111107,-65.7799,64.315887,NA,TRUE,NA,NA,2.64E+13,0.359246582
Run08182_Seq0001_Scan014,20080730,7.296111107,-66.110664,63.932842,NA,TRUE,NA,NA,2.64E+13,0.356366038
Run08182_Seq0001_Scan015,20080730,7.304999828,-66.434151,63.548214,NA,TRUE,NA,NA,2.64E+13,0.875687599
Run08182_Seq0001_Scan016,20080730,7.304999828,-66.749184,63.163532,NA,TRUE,NA,NA,2.64E+13,0.053312205
Run08182_Seq0001_Scan017,20080730,7.304999828,-67.057076,62.777763,NA,TRUE,NA,NA,2.64E+13,0.952556312
Run08182_Seq0001_Scan018,20080730,7.304999828,-67.35746,62.392059,NA,TRUE,NA,NA,2.64E+13,0.276042253
Run08182_Seq0001_Scan019,20080730,7.304999828,-67.651169,62.005287,NA,TRUE,NA,NA,2.64E+13,0.206322953
Run08182_Seq0001_Scan020,20080730,7.313889027,-67.937714,61.618706,NA,TRUE,NA,NA,2.64E+13,0.23734282
Run08182_Seq0001_Scan021,20080730,7.313889027,-68.218529,61.230839,FALSE,TRUE,NA,NA,2.64E+13,0.178677648
Run08182_Seq0001_Scan022,20080730,7.313889027,-68.49263,60.843281,FALSE,TRUE,NA,NA,2.64E+13,0.787671268
Run08182_Seq0001_Scan023,20080730,7.313889027,-68.761322,60.454468,FALSE,TRUE,NA,NA,2.64E+13,0.110291183
Run08182_Seq0001_Scan024,20080730,7.322777748,-69.024101,60.065628,FALSE,TRUE,NA,NA,2.64E+13,0.048164871
Run08182_Seq0001_Scan025,20080730,7.322777748,-69.281212,59.67662,FALSE,TRUE,NA,NA,2.64E+13,0.558931768
Run08182_Seq0001_Scan026,20080730,7.322777748,-69.533226,59.286812,FALSE,TRUE,NA,NA,2.64E+13,0.346965611
Run08182_Seq0001_Scan027,20080730,7.322777748,-69.780304,58.896687,FALSE,TRUE,NA,NA,2.64E+13,0.588733971
Run08182_Seq0001_Scan028,20080730,7.322777748,-70.022575,58.505955,FALSE,TRUE,NA,NA,2.64E+13,0.55683583
Run08182_Seq0001_Scan029,20080730,7.33166647,-70.260147,58.114719,FALSE,TRUE,NA,NA,2.64E+13,0.959909141
Run08182_Seq0001_Scan030,20080730,7.33166647,-70.492935,57.72377,FALSE,TRUE,NA,NA,2.64E+13,0.934638202
Run08182_Seq0001_Scan031,20080730,7.33166647,-70.721245,57.33239,FALSE,TRUE,NA,NA,2.64E+13,0.940420032
Run08182_Seq0001_Scan032,20080730,7.33166647,-70.945778,56.940083,FALSE,TRUE,NA,NA,2.64E+13,0.487927437
Run08182_Seq0001_Scan033,20080730,7.340555668,-71.166153,56.547436,FALSE,TRUE,NA,NA,2.64E+13,0.799632967
Run08182_Seq0001_Scan034,20080730,7.340555668,-71.382286,56.155201,FALSE,TRUE,NA,NA,2.64E+13,0.613376737
Run08182_Seq0001_Scan035,20080730,7.340555668,-71.594994,55.761978,FALSE,TRUE,NA,NA,2.64E+13,0.914140582
Run08182_Seq0001_Scan036,20080730,7.340555668,-71.803635,55.368988,FALSE,TRUE,NA,NA,2.64E+13,0.30193767
Run08182_Seq0001_Scan037,20080730,7.340555668,-72.009033,54.975185,FALSE,TRUE,NA,NA,2.64E+13,0.68045795
Run08182_Seq0001_Scan038,20080730,7.349444389,-72.210876,54.581619,FALSE,TRUE,NA,NA,2.64E+13,0.480272859
Run08182_Seq0001_Scan039,20080730,7.349444389,-72.409225,54.187691,FALSE,TRUE,NA,NA,2.64E+13,0.221921474
Run08182_Seq0001_Scan040,20080730,7.349444389,-72.604614,53.793301,FALSE,TRUE,NA,NA,2.64E+13,0.393221647
Run08182_Seq0001_Scan041,20080730,7.349444389,-72.796799,53.398495,FALSE,TRUE,NA,NA,2.64E+13,0.689890146
Run08182_Seq0001_Scan042,20080730,7.358333111,-72.986,53.003742,FALSE,TRUE,NA,NA,2.64E+13,0.881321192
Run08182_Seq0001_Scan043,20080730,7.358333111,-73.172478,52.608364,FALSE,TRUE,NA,NA,2.64E+13,0.838498712
Run08182_Seq0001_Scan046,20080730,7.358333111,-73.714653,51.422058,FALSE,TRUE,NA,NA,2.64E+13,0.106113128
Run08182_Seq0001_Scan047,20080730,7.358333111,-73.890068,51.026035,FALSE,TRUE,NA,NA,2.64E+13,0.095577419
Run08182_Seq0001_Scan048,20080730,7.358333111,-74.06311,50.629955,FALSE,TRUE,NA,NA,2.64E+13,0.576659262
Run08182_Seq0001_Scan049,20080730,7.358333111,-74.233696,50.233601,FALSE,TRUE,1.17E+11,0.443054469,2.64E+13,0.985395491
Run08182_Seq0001_Scan050,20080730,7.358333111,-74.402092,49.836765,FALSE,TRUE,1.17E+11,0.443054469,2.64E+13,0.107717223
Run08182_Seq0001_Scan052,20080730,7.367222309,-74.731812,49.043068,FALSE,TRUE,3587185032,0.013596387,2.64E+13,0.770109534
Run08182_Seq0001_Scan053,20080730,7.367222309,-74.893555,48.645676,FALSE,TRUE,3587185032,0.013596387,2.64E+13,0.085173175
Run08182_Seq0001_Scan054,20080730,7.367222309,-75.053024,48.248287,FALSE,TRUE,18305400664,0.069382345,2.64E+13,0.594291568
Run08182_Seq0001_Scan055,20080730,7.376111031,-75.210518,47.850948,FALSE,TRUE,18305400664,0.069382345,2.64E+13,0.66131711
Run08182_Seq0001_Scan056,20080730,7.376111031,-75.366089,47.453136,FALSE,TRUE,60848349936,0.230631457,2.64E+13,0.521730959
Run08182_Seq0001_Scan059,20080730,7.376111031,-75.821739,46.258678,FALSE,TRUE,3.70E+11,1.401398553,2.64E+13,0.286469579
Run08182_Seq0001_Scan060,20080730,7.385000229,-75.969902,45.860443,FALSE,TRUE,3.70E+11,1.401398553,2.64E+13,0.472480446
Run08182_Seq0001_Scan061,20080730,7.385000229,-76.116737,45.461388,FALSE,TRUE,2.80E+12,10.60429281,2.64E+13,0.724873722
Run08182_Seq0001_Scan063,20080730,7.385000229,-76.404655,44.664532,FALSE,TRUE,2.80E+12,10.60429281,2.64E+13,0.337980926
Run08182_Seq0001_Scan064,20080730,7.39388895,-76.546455,44.265263,FALSE,TRUE,6.61E+11,2.506116585,2.64E+13,0.05582305
